local;populacao;autistas
Brasil;203080756;2405337
Norte;17354884;201835
rondonia;1581196;20209
Acre;830018;13224
Amazonas;3941613;43983
Roraima;636707;7374
Para;8120131;91230
Amapa;733759;11081
Tocantins;1511460;14734
Nordeste;54658515;633490
Maranhao;6776699;75283
Piaui;3271199;37856
Ceara;8794957;126548
Rio Grande do Norte;3302729;37625
Paraíba;3974687;46560
Pernambuco;9058931;105852
Alagoas;3127683;33143
Sergipe;2210004;25696
Bahia;14141626;144928
Sudeste;84840113;1042066
Minas Gerais;20539989;228557
Espirito Santo;3833712;51328
Rio de Janeiro;16055174;214637
São Paulo;44411238;547545
Sul;29937706;348433
Parana;11444380;132604
Santa Catarina;7610361;91588
Rio Grande do Sul;10882965;124241
Centro-Oeste;16289538;179512
Mato Grosso do Sul;2757013;29088
Mato Grosso;3658649;41247
Goias;7056495;75040
Distrito Federal;2817381;34136
